51300048042,fce,100,288
51300064013,cfd,148,133
51300137375,fae,1,189
51300206205,eae,197,51
51300252127,cgc,5,65
51300259874,bbf,151,278
51300266332,cbb,281,91
51300273422,afd,164,132
51300274193,ddc,135,117
51300279353,cbg,47,173
51300284831,aee,158,190
51300294711,fae,115,221
51300334059,dca,72,261
51300438640,dfg,171,242
51300464376,bgb,93,292
51300492993,bad,137,209
51300519391,gff,160,44
51300534193,ffd,193,231
51300609711,bed,76,77
51300667891,cfa,93,203
51300724305,baa,63,156
51300738813,cda,48,76
51300740256,cab,85,109
51300751019,efb,224,88
51300772702,cbc,286,148
51300853101,gfb,203,178
51300938278,fcg,61,237
51300948620,fcg,215,251
51301064393,gbc,173,40
51301080922,fae,185,221
51301093986,aag,179,198
51301101409,baf,79,234
51301101996,gbb,201,49
51301132709,aaa,90,235
51301138006,fbe,54,156
51301157970,cce,103,187
51301165907,acd,71,71
51301216080,ffa,116,26
51301252364,edc,132,145
51301282422,eac,140,250
51301292053,dbb,79,128
51301368702,fea,247,117
51301379572,dea,122,63
51301440740,cgg,6,288
51301444012,cdc,134,241
51301468370,fdd,297,216
51301475836,aag,103,227
51301493556,gfc,135,151
51301541942,cff,110,222
51301558355,adg,3,14
51301560366,cdd,278,84
51301585540,gec,46,251
51301632520,gcd,80,244
51301728174,gff,92,40
51301754886,dee,270,145
51301853092,eba,26,111
51301941468,deg,178,232
51301944499,ceg,211,88
51301954450,bfe,243,160
51301994120,fgd,160,206
51302008412,efe,5,143
51302069245,beg,29,34
51302076496,cbe,48,221
51302081622,bcb,48,279
51302123948,dce,247,99
51302158258,bbg,223,205
51302180317,fcd,255,34
51302204474,ggg,102,7
51302212072,gba,26,256
51302214351,cac,9,55
51302230259,bfe,293,171
51302235069,dec,231,243
51302248254,bca,269,175
51302254229,fbe,159,131
51302305012,abg,232,244
51302336955,deb,177,162
51302359886,eae,264,52
51302396868,bed,92,88
51302425216,bec,38,198
51302429313,cbe,61,176
51302433684,dcd,40,53
51302467145,dgf,51,203
51302475768,abd,165,259
51302552893,gff,173,36
51302575428,gac,269,222
51302578683,dgb,235,202
51302654637,bac,134,116
51302712077,ecc,111,263
51302713751,adb,23,188
51302714937,bce,34,219
51302716668,gad,189,30
51302720823,eag,269,6
51302722888,gfb,106,197
51302769426,dfd,275,100
51302774077,gfd,134,74
51302785594,cgd,110,216
51302795367,ffd,174,189
51302810740,cge,262,114
51302819697,fbb,26,71
51302846513,fee,202,287
51302855298,ecb,44,262
51302862006,cgd,257,205
51302871266,fdf,79,207
51302881754,aga,71,261
51302902414,bfc,40,132
51302906674,ccb,8,74
51302911456,bdb,285,103
51302912501,agf,9,277
51302932745,abf,233,56
51302935064,eeb,148,284
51302936684,bfa,266,6
51302946785,gea,34,223
51302948161,dba,215,219
51302978835,fef,19,15
51302990095,cag,32,152
51303003263,dfe,231,128
51303032343,ega,226,173
51303116521,ggf,289,161
51303137226,eea,75,7
51303156201,aeb,62,31
51303189550,gga,238,211
51303196775,gda,49,113
51303244119,bgd,46,93
51303251615,bed,206,73
51303275369,fdg,87,47
51303275847,eed,164,238
51303292840,gde,277,143
51303310119,def,48,247
51303396412,dbf,213,173
51303444257,bba,251,123
51303449257,ccg,205,47
51303467847,ffd,35,164
51303507728,bac,183,121
51303578698,gbb,189,39
51303592811,gde,11,148
51303599238,ded,94,68
51303614652,abd,88,261
51303636620,acf,71,30
51303649328,gdg,55,212
51303650445,bfa,198,6
51303662737,ggc,18,20
51303683765,gaa,20,279
51303686827,fac,220,22
51303709495,eaf,208,94
51303716362,bcf,133,242
51303747600,cbd,87,177
51303748409,cba,49,62
51303756485,cac,16,64
51303810736,dea,177,69
51303813118,ecc,218,220
51303869027,aaf,56,167
51303893162,eag,132,6
51303901535,eff,79,42
51303904329,acf,208,30
51303910943,afb,224,22
51303928842,dcd,29,63
51303940327,eab,17,263
51303945806,ccb,121,76
51303988891,fad,249,96
51303991157,cef,233,217
51304019953,beb,146,109
51304025437,aca,288,275
51304032764,gcc,85,282
51304091050,add,253,264
51304092574,dad,286,146
51304095524,cda,3,72
51304102856,gcc,175,282
51304102985,dcb,248,107
51304133942,cfd,60,109
51304136237,fga,265,53
51304146203,bda,86,166
51304193441,fae,183,201
51304206358,feb,166,37
51304222016,edb,49,67
51304264991,abg,43,251
51304269703,cbc,3,140
51304273828,dbb,129,120
51304279934,ccc,154,153
51304289168,gea,244,240
51304316492,eca,27,125
51304336358,ddg,146,12
51304341840,fcc,232,172
51304342506,ccg,128,54
51304345751,gef,34,49
51304355674,gfe,188,12
51304366903,cgd,54,209
51304392163,cea,2,166
51304396376,fgf,266,170
51304402741,dbd,110,173
51304427979,bff,293,267
51304484006,gdg,46,212
51304495610,eef,198,259
51304529868,caf,232,129
51304531069,ggc,78,21
51304555713,afa,104,213
51304599965,agg,162,224
51304639108,bfg,129,76
51304668311,bfb,182,225
51304686165,ded,182,60
51304708566,cee,139,197
51304710970,gbe,71,18
51304713744,cbb,235,95
51304720278,edc,93,155
51304721242,bfc,12,113
51304728802,aff,160,286
51304736141,ecd,76,82
51304752490,bff,14,229
51304812219,ddf,22,217
51304828950,ebd,164,155
51304835328,bdc,255,29
51304860289,gdf,284,66
51304944235,bcf,136,227
51304979902,dbb,197,97
51304997882,dff,195,109
51305002666,gaf,217,87
51305026797,bbd,50,125
51305026947,cgb,297,146
51305069774,ead,290,49
51305074923,bdg,1,79
51305098186,fac,226,18
51305143009,ccg,72,45
51305156182,gbb,274,33
51305160086,ccg,229,44
51305201521,fad,274,102
51305207903,bfd,54,141
51305225287,bde,246,40
51305229629,cga,176,181
51305249449,cfb,291,53
51305267566,eea,295,6
51305279833,fdf,148,180
51305286541,dca,186,292
51305289521,fcg,41,256
51305289528,feb,51,36
51305297310,dcf,105,241
51305319475,egf,199,69
51305332263,dgg,228,81
51305339628,aee,163,193
51305405328,aed,70,194
51305409855,afd,133,125
51305456059,dee,143,134
51305483062,bgd,135,93
51305485622,cgb,53,118
51305491911,bee,10,244
51305572801,dda,272,290
51305574347,aac,116,290
51305577244,ced,128,206
51305583043,ggc,240,19
51305592551,bdg,162,91
51305596495,gae,272,213
51305599815,ffg,290,293
51305602505,fdb,34,270
51305603207,fff,237,46
51305612214,dfb,18,113
51305624445,aeg,37,113
51305644298,cfb,12,44
51305645608,bfe,149,176
51305686585,dfb,38,98
51305702711,ddc,154,114
51305713131,cdb,249,140
51305713497,egc,155,165
51305720765,afa,76,191
51305752131,bed,258,59
51305766846,adc,113,32
51305785187,fgb,27,151
51305792299,fbc,273,258
51305793126,ede,286,227
51305820911,bbd,299,122
51305845881,bcc,44,58
51305854302,egc,184,194
51305879753,acg,223,176
51305890113,ddb,190,60
51305907733,aae,192,156
51305921883,cfd,179,106
51305968056,fcb,227,288
51305989661,gcg,185,49
51305996711,gdd,54,8
51305999026,fbd,81,278
51306052463,cdf,17,222
51306052674,dbd,81,169
51306119217,agb,255,239
51306123887,adg,37,12
51306135929,daa,75,167
51306136000,bef,179,275
51306137973,gad,293,28
51306163606,geb,269,168
51306174720,cad,258,224
51306187953,ccf,19,18
51306233851,eff,102,34
51306248392,bbe,107,68
51306270105,agd,200,180
51306301177,egb,32,252
51306319249,cbg,222,169
51306335805,dcd,47,74
51306348015,gee,168,132
